question,true_intent,predicted_intent,correct
"Sebutkan program studi Universitas Malikussaleh""",kampus_program_studi,kampus_program_studi,TRUE
Daftar lengkap program studi UNIMAL,kampus_program_studi,kampus_program_studi,TRUE
Unimal memiliki program studi apa saja?,kampus_program_studi,kampus_program_studi,TRUE
Informasi program studi Universitas Malikussaleh,kampus_program_studi,kampus_program_studi,TRUE
Saya ingin mengetahui seluruh program studi di Unimal.,kampus_program_studi,kampus_program_studi,TRUE
Tolong tampilkan program studi yang ada di Universitas Malikussaleh.,kampus_program_studi,kampus_program_studi,TRUE
Bisakah Anda menampilkan daftar jurusan di Unimal?,kampus_program_studi,kampus_program_studi,TRUE
Apa saja program studi yang tersedia di Unimal?,kampus_program_studi,fakultas_info,FALSE
Program studi yang tersedia di kampus Unimal apa saja?,kampus_program_studi,kampus_program_studi,TRUE
Tolong tampilkan seluruh jurusan yang ada di Universitas Malikussaleh.,kampus_program_studi,kampus_program_studi,TRUE
Fakultas apa saja yang ada di Universitas Malikussaleh?,kampus_fakultas,kampus_fakultas,TRUE
Apa saja fakultas yang dimiliki oleh Unimal?,kampus_fakultas,kampus_fakultas,TRUE
Universitas Malikussaleh memiliki berapa fakultas?,kampus_fakultas,kampus_fakultas,TRUE
Tolong tampilkan daftar fakultas di Unimal.,kampus_fakultas,kampus_program_studi,FALSE
Fakultas yang tersedia di Universitas Malikussaleh apa saja?,kampus_fakultas,kampus_fakultas,TRUE
Saya ingin mengetahui seluruh fakultas yang ada di Unimal.,kampus_fakultas,kampus_fakultas,TRUE
Sebutkan nama-nama fakultas di Universitas Malikussaleh.,kampus_fakultas,kampus_fakultas,TRUE
Bisakah Anda memberikan daftar fakultas yang ada di Unimal?,kampus_fakultas,kampus_fakultas,TRUE
Ada fakultas apa saja di kampus Universitas Malikussaleh?,kampus_fakultas,kampus_fakultas,TRUE
Unimal memiliki fakultas apa saja saat ini?,kampus_fakultas,kampus_fakultas,TRUE
Siapa Rektor Universitas Malikussaleh saat ini?,pimpinan_info,pimpinan_info,TRUE
Siapa nama rektor Unimal sekarang?,pimpinan_info,pimpinan_info,TRUE
Siapa Wakil Rektor I Universitas Malikussaleh?,pimpinan_info,pimpinan_info,TRUE
Siapa yang menjabat sebagai WR 1 di Unimal?,pimpinan_info,pimpinan_info,TRUE
Siapa Wakil Rektor II Universitas Malikussaleh?,pimpinan_info,pimpinan_info,TRUE
Siapa nama WR 2 di Universitas Malikussaleh?,pimpinan_info,pimpinan_info,TRUE
Siapa Wakil Rektor III Universitas Malikussaleh?,pimpinan_info,pimpinan_info,TRUE
Siapa yang menjabat sebagai WR 3 di Unimal?,pimpinan_info,pimpinan_info,TRUE
Siapa saja pimpinan Universitas Malikussaleh saat ini?,pimpinan_info,pimpinan_info,TRUE
Tolong tampilkan informasi pimpinan Universitas Malikussaleh.,pimpinan_info,kampus_fakultas,FALSE
Apa saja program studi di Fakultas Teknik?,fakultas_info,fakultas_info,TRUE
Saya ingin mengetahui informasi tentang Fakultas Hukum Unimal.,fakultas_info,kampus_fakultas,FALSE
Apa saja informasi mengenai Fakultas Ekonomi dan Bisnis?,fakultas_info,fakultas_info,TRUE
Tolong jelaskan profil Fakultas Kedokteran Universitas Malikussaleh.,fakultas_info,fakultas_info,TRUE
Bagaimana informasi mengenai Fakultas Pertanian di Unimal?,fakultas_info,prodi_info,FALSE
Ceritakan tentang Fakultas Ilmu Sosial dan Ilmu Politik Unimal.,fakultas_info,fakultas_info,TRUE
Apa informasi yang tersedia mengenai Fakultas Keguruan dan Ilmu Pendidikan?,fakultas_info,prodi_info,FALSE
Saya ingin mengetahui profil Fakultas Teknik Unimal.,fakultas_info,fakultas_info,TRUE
Dapatkah Anda memberikan informasi mengenai Fakultas Hukum?,fakultas_info,prodi_info,FALSE
Tolong tampilkan informasi Fakultas Ekonomi dan Bisnis Universitas Malikussaleh.,fakultas_info,fakultas_info,TRUE
Berikan informasi mengenai Program Studi Informatika Universitas Malikussaleh.,prodi_info,kampus_profil,FALSE
Saya ingin mengetahui profil Program Studi Sistem Informasi.,prodi_info,prodi_info,TRUE
Apa saja informasi mengenai Program Studi Teknik Sipil di Unimal?,prodi_info,fakultas_info,FALSE
Tolong jelaskan tentang Program Studi Teknik Mesin Universitas Malikussaleh.,prodi_info,prodi_info,TRUE
